"sample","pop","count"
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","root",5664608
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC",4952279
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC",4533878
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB",4101605
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",1128683
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris",1052866
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live",16553
"HEU_Myeloid_6Aug25-NoTags-INF155-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live/monocytes",2394
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","root",6017960
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC",5548135
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC",5117864
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB",4535210
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",2038939
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris",1996828
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live",58786
"HEU_Myeloid_6Aug25-NoTags-INF158-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live/monocytes",22224
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","root",5684536
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC",5303892
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC",4789209
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB",4339326
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",2588501
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris",2536338
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live",20235
"HEU_Myeloid_6Aug25-NoTags-INF159-CB_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live/monocytes",5019
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","root",1455200
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC",1378052
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC",1251883
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB",1190048
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",1068308
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris",993109
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live",18057
"HEU_Myeloid_6Aug25-NoTags-ND006_Exp6_Unmixed.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/nonDebris/live/monocytes",689
